mesh,s_er,v_cyt,svr_er,ERPM_contpt_ER
d1s3a107b1,0.315,0.112,2.8125,183
d1s8a22b1,0.0309,0.397,0.077833753148615,0
d2s6a9b1,0.273,0.505,0.540594059405941,158
d10s1a2b1,0.136,0.531,0.256120527306968,3771
d1s10a24b1,0.344,0.331,1.0392749244713,31
d9s4a34b1,0.807,0.41,1.96829268292683,20958
